Universidad,Código,Acrónimo,Tipo,CIF,Con ánimo de lucro,Modalidad,Administración Educativa Responsable,Domicilio,Código postal,Localidad,Municipio,Provincia,Comunidad Autónoma,URL,EMail,Teléfono 1,Tipo Boletín,Año publicación,Tipo disposición,Fecha disposición,Fecha publicación,Fecha entrada en Vigor
Centros autorizados para impartir Enseñanzas Artísticas Superiores,99,,Privada,,,,Estado,,,Madrid,Madrid,Madrid,Comunidad de Madrid,,,,No publicado o Publicación desconocida,2022,No consta,2022-03-09,2022-03-09,2022-03-09
Centros dependientes del Ministerio de Defensa,86,,Pública,,No,,Estado,,,Madrid,Madrid,Madrid,Comunidad de Madrid,,,,No publicado o Publicación desconocida,2019,No consta,2019-02-06,2019-02-06,2019-02-06
Centros extranjeros autorizados por la Comunidad Autónoma de Aragón,105,,Pública,,,,Comunidad Autónoma de Aragón,,,Zaragoza,Zaragoza,Zaragoza,Comunidad Autónoma de Aragón,,,,Boletín Oficial de Aragón,2000,Decreto Autonómico,2000-01-18,2000-01-31,2000-02-01
Centros extranjeros autorizados por la Comunidad Autónoma de Cantabria,92,,Pública,,,,Comunidad Autónoma de Cantabria,,,Santander,Santander,Cantabria,Comunidad Autónoma de Cantabria,,,,No publicado o Publicación desconocida,2020,No consta,2020-03-03,2020-03-03,2020-03-03
Centros extranjeros autorizados por la Comunidad Autónoma de Cataluña,101,,Pública,,,,Comunidad Autónoma de Cataluña,,,Barcelona,Barcelona,Barcelona,Comunidad Autónoma de Cataluña,,,,Diari Oficial de la Generalitat de Catalunya,2022,Resol./Edicto de una Admón. Autonómica,2022-11-29,2022-12-13,2022-12-14
Centros extranjeros autorizados por la Comunidad Autónoma del País Vasco,95,,Pública,,,,,,,Bilbao,Bilbao,Bizkaia,Comunidad Autónoma del País Vasco,,,,No publicado o Publicación desconocida,2021,No consta,2021-02-18,2021-02-18,2021-02-18
Centros extranjeros autorizados por la Comunidad de Andalucía,93,,Pública,,,,,,,Sevilla,Sevilla,Sevilla,Comunidad Autónoma de Andalucía,,,,No publicado o Publicación desconocida,2020,No consta,2020-06-01,2020-06-01,2020-06-01
Centros extranjeros autorizados por la Comunidad de Madrid,91,,Pública,,,,Comunidad de Madrid,,,Madrid,Madrid,Madrid,Comunidad de Madrid,,,,No publicado o Publicación desconocida,2020,No consta,2020-02-27,2020-02-27,2020-02-27
Centros extranjeros autorizados por la Comunidad Valenciana,96,,Pública,,,,,,,Valencia,València,Valencia/València,Comunidad Valenciana,,,,Diari Oficial de la Generalitat Valenciana,2012,Resol./Edicto de una Admón. Autonómica,2012-07-27,2012-08-16,2012-08-17
CUNEF Universidad,89,CUNEF,Privada,B86969235,Sí,Presencial,Comunidad de Madrid,"Calle Almansa, 101",28040.0,Madrid,Madrid,Madrid,Comunidad de Madrid,www.cunef.edu,,91 444 51 61,Boletín Oficial de la Comunidad de Madrid,2019,Ley Autonómica,2019-03-27,2019-03-28,2019-03-29
ESIC Universidad,87,ESIC,Privada,G87046124,No,Presencial,Comunidad de Madrid,Avenida Valdenigrales s/n,28223.0,Pozuelo de Alarcón,Pozuelo de Alarcón,Madrid,Comunidad de Madrid,www.esic.edu/university/,,914524167,Boletín Oficial de la Comunidad de Madrid,2019,Ley Autonómica,2019-03-20,2019-03-28,2019-03-29
IE Universidad,57,IE,Privada,G40155384,No,Presencial,Comunidad de Castilla y León,"C/ Cardenal Zúñiga, 12",40003.0,Segovia,Segovia,Segovia,Comunidad de Castilla y León,www.ie.edu/universidad,universidad@ie.edu,921412410,Boletín Oficial del Estado,1997,Ley Estatal,1997-07-01,1997-07-01,1997-07-02
